state,trigger_id,cron_utc,script,cadence,logging_since,old_trigger_id,old_created_at,old_last_run_at,old_last_run_status,old_last_run_session,old_bound_session,runner_session_id
AK,trig_018fYZk2Dd9sui3WqmDMefwS,0 14 * * 1,R/03h_ak_year1_awardees.R,weekly,2026-09-23T14:20:00Z,trig_01U4RxGWMH8yg37UKupHqTki,2026-08-31T14:57:52Z,2026-09-21T14:13:00Z,SUCCEEDED,cse_01CodnpapjSFZR3TUEU3eZMS,,session_01339T1YnhTUYCvAsEPBVHcU
MO,trig_01KM9QKdZGyMxXVy2QChoiTo,0 15 * * 3,R/03w_mo_year1_awardees.R,weekly,2026-09-23T14:20:00Z,trig_01RyGxdGNv6rrF8t6bT5fQdK,2026-09-01T15:10:52Z,2026-09-16T15:10:38Z,SUCCEEDED,cse_01GYSb9Q4UUcvpAd5gki8Fh6,,session_01J5YCDdt9saEJVxmsATnLLD
WI,trig_016FwVyquES97oASjAkBue5p,"0 14 * * 2,5",R/03y_wi_year1_probe.R,twice-weekly,2026-09-23T14:20:00Z,trig_01PEixRDWkHzpet4krJtye3b,2026-09-01T17:56:41Z,2026-09-22T14:04:08Z,SUCCEEDED,cse_01Y7syyhbPrutLDnPTpjQ1LV,,session_01MautT3SfaKPnu7JJz2BCpK
ME,trig_01MDYSXPBrciJX2QSYJ5MYiZ,"20 16 * * 2,5",R/03aa_me_year1_awardees.R,twice-weekly,2026-09-23T14:20:00Z,trig_01ALmis3jAgiLXVb6ZDLCj8Y,2026-09-02T00:57:56Z,2026-09-22T16:20:50Z,SUCCEEDED,cse_01HAJFpLnDH6pje1wbk496Di,session_01HAJFpLnDH6pje1wbk496Di,session_01CdiK6BmRbiiVASCXa8W22a
CA,trig_01XHdPsHkNQFsQET1NnWQ3oX,"0 17 * * 3,6",R/03ab_ca_year1_probe.R,twice-weekly,2026-09-23T14:20:00Z,trig_013vujTBLopT2gSmNwWJ94ig,2026-09-02T13:07:37Z,2026-09-19T17:05:59Z,SUCCEEDED,cse_016utRYHfDqY1CyuJyogVfU9,session_016utRYHfDqY1CyuJyogVfU9,session_01W2kJHuBuNkmMo2nfjBHZAR
CT,trig_01KNe6jSqT8GaDctKbJyQogf,"40 15 * * 1,4",R/03ac_ct_year1_probe.R,twice-weekly,2026-09-23T14:20:00Z,trig_01DRHN1x1WfzPjC3dpgay8s2,2026-09-02T14:12:39Z,2026-09-21T15:40:24Z,SUCCEEDED,cse_01Km9LX1bmEkjzEecdnLkBAD,,session_01LSL8XWjJ7q7jR6PTinx61Y
NM,trig_01RBJqBvQfcXoaWddH21KHiy,40 18 * * 2,R/03ad_nm_year1_probe.R,weekly,2026-09-23T14:20:00Z,trig_01DbiFhMJhaZXzYB4gi5JpwX,2026-09-02T14:13:10Z,2026-09-22T18:40:23Z,SUCCEEDED,cse_011G7LFwm9tCaRzqmeUnVP1H,,session_011DdQ5LzBuCDYEXE7wCb2HY
LA,trig_01UbBmCSzhsgGJphE33iiPE1,"50 12 * * 3,6",R/03ae_la_year1_probe.R,twice-weekly,2026-09-23T14:20:00Z,trig_01BqyRZ4d8S8EvKdtCN9nmX5,2026-09-02T15:05:04Z,2026-09-23T12:50:18Z,SUCCEEDED,cse_0191AWG7AmZGEJJzZe5bQJCZ,,session_01MeyuQ1oRmSY1DFeRrQuTdM
KY,trig_014B5Ar8LpfkrY1uwpuNXrLt,"30 19 * * 1,4",R/03af_ky_year1_probe.R,twice-weekly,2026-09-23T14:20:00Z,trig_01FqfAJvnMzz811goNzNZYqi,2026-09-02T18:38:11Z,2026-09-21T19:37:04Z,SUCCEEDED,cse_01BLYi7XDrsJTxkpVeapR8bK,,session_01UupwyaxGfXHSohdaVUWz9Z
NY,trig_01S6HM3Uv5u7WNP1sYgeCvPy,"10 11 * * 0,3",R/03ag_ny_year1_probe.R,twice-weekly,2026-09-23T14:20:00Z,trig_01G2ZijwemE2YgbAuiBirKs2,2026-09-02T18:37:52Z,2026-09-23T11:18:12Z,SUCCEEDED,cse_01BwNcEHmcFAVK113Ye8bcog,,session_01NfXAHPAh7kopwE41JsxHco
NC,trig_01XZRVb97pTVAyGqBG4jm4GU,50 10 * * 6,R/03ah_nc_year1_sources.R,weekly,2026-09-23T14:20:00Z,trig_01SepuwJWXSkqpNQ9WgJkxMb,2026-09-02T18:38:35Z,2026-09-19T10:50:53Z,SUCCEEDED,cse_012gS6gs3njVaCKZ1ZP3cxWP,,session_013QiZrvQ1aRnr3XasnXup6P
AR,trig_019NE7hHB7A2q7JYuVS43JLW,"20 20 * * 0,4",R/03ai_ar_year1_awardees.R,twice-weekly,2026-09-23T14:20:00Z,trig_01Sw1CDPqYQKXFq4WEVRHH2a,2026-09-03T15:28:11Z,2026-09-20T20:20:53Z,SUCCEEDED,cse_01FPk9fZhc7CtmHGVFAZU62r,,session_01WrjnFZj94uMMPCw3ao47Wz
WY,trig_01B1bUdL6DXmH62vYjbFKwTh,"10 21 * * 2,5",R/03aj_wy_year1_awardees.R,twice-weekly,2026-09-23T14:20:00Z,trig_016y7C12cyxy7GmGNJDxoAbW,2026-09-03T18:17:13Z,2026-09-22T21:10:26Z,SUCCEEDED,cse_013cD3bwecrgqHKm1YZYyBTo,,session_018FWp2ecu3Zh4x3hVz8Zn7L
MS,trig_01UDobCSd7hE3ACTRgrLNr7Q,"40 9 * * 2,5",R/03ak_ms_year1_awardees.R,twice-weekly,2026-09-23T14:20:00Z,trig_01RmgWna5oXyoMCXYrVqGVvE,2026-09-03T19:56:23Z,2026-09-22T09:40:51Z,SUCCEEDED,cse_01MFnKoctk3v3A4r93jGrjRT,,session_01Dh3C5ccjWG6CXCLqdYZMKQ
SC,trig_017j3hddVSkzAAKn8esPawmR,30 8 * * 4,R/03ao_sc_year1_awardees.R,weekly,2026-09-23T14:20:00Z,trig_01UdVg36W1aWGTDKs3jfHtfV,2026-09-21T18:28:47Z,,NEVER_FIRED,,,session_016YHpdTXtXghUFHx9Ec6oGt
KS,trig_01YaPKjhaGKGBBpmcC9X7NSJ,10 8 * * 1,R/03o_ks_year1_awardees.R,weekly,2026-09-23T14:20:00Z,trig_01JkvfXqqNaLXuf8xFja5nNR,2026-09-22T19:38:43Z,2026-09-23T13:03:14Z,SUCCEEDED,cse_012E3YTBtjNJuqRe3jiSeeTt,,session_01EjF6i4tFDhf5RrU7to77tG
