state,row_no,awardee,amount,recipient_type,distributed_to_hospital,note,recipient_confirmed,amount_confirmed,fiscal_year,source_document_title,state_source_url,validation_source_type,extraction_method,validator,ccn,aha_id,rural_designation,reviewer,award_pool,flow_type,hospital_benefiting,hospital_attribution,determination_confidence,determination_basis,classification_rule,flag_reason,source_archive_path
KS,1,Hutchinson Regional Healthcare System,3000000,HOSPITAL_OR_SYSTEM,Yes,KDHE REH_CAP award. Recipient name rule: name states a health system. §10.2 DIRECT: the named recipient is a hospital or hospital system and the state's award document names both the recipient and the amount.,Yes,Yes,FY2026,REH CAP and RPGP Award Winners,https://www.kdhe.ks.gov/2361/Rural-Health-Transformation-Program,NOTICE_OF_AWARD,DIRECT_TEXT,AUTO,,,,,REH_CAP,DIRECT,Yes,NAMED_HOSPITAL,MEDIUM,Recipient name rule: name states a health system. §10.2 DIRECT: the named recipient is a hospital or hospital system and the state's award document names both the recipient and the amount.,PATTERN,,data/evidence/KS/2026-08-29_kdhe_reh_cap_and_rpgp_award_winners.pdf
KS,2,Gove County Medical Center,3000000,HOSPITAL_OR_SYSTEM,Yes,KDHE REH_CAP award. Recipient name rule: name states a medical center. §10.2 DIRECT: the named recipient is a hospital or hospital system and the state's award document names both the recipient and the amount.,Yes,Yes,FY2026,REH CAP and RPGP Award Winners,https://www.kdhe.ks.gov/2361/Rural-Health-Transformation-Program,NOTICE_OF_AWARD,DIRECT_TEXT,AUTO,,,,,REH_CAP,DIRECT,Yes,NAMED_HOSPITAL,HIGH,Recipient name rule: name states a medical center. §10.2 DIRECT: the named recipient is a hospital or hospital system and the state's award document names both the recipient and the amount.,PATTERN,,data/evidence/KS/2026-08-29_kdhe_reh_cap_and_rpgp_award_winners.pdf
KS,3,Clara Barton Medical Center,2933500,HOSPITAL_OR_SYSTEM,Yes,KDHE REH_CAP award. Recipient name rule: name states a medical center. §10.2 DIRECT: the named recipient is a hospital or hospital system and the state's award document names both the recipient and the amount.,Yes,Yes,FY2026,REH CAP and RPGP Award Winners,https://www.kdhe.ks.gov/2361/Rural-Health-Transformation-Program,NOTICE_OF_AWARD,DIRECT_TEXT,AUTO,,,,,REH_CAP,DIRECT,Yes,NAMED_HOSPITAL,HIGH,Recipient name rule: name states a medical center. §10.2 DIRECT: the named recipient is a hospital or hospital system and the state's award document names both the recipient and the amount.,PATTERN,,data/evidence/KS/2026-08-29_kdhe_reh_cap_and_rpgp_award_winners.pdf
KS,4,Pratt Regional Medical Center,2869082,HOSPITAL_OR_SYSTEM,Yes,KDHE REH_CAP award. Recipient name rule: name states a medical center. §10.2 DIRECT: the named recipient is a hospital or hospital system and the state's award document names both the recipient and the amount.,Yes,Yes,FY2026,REH CAP and RPGP Award Winners,https://www.kdhe.ks.gov/2361/Rural-Health-Transformation-Program,NOTICE_OF_AWARD,DIRECT_TEXT,AUTO,,,,,REH_CAP,DIRECT,Yes,NAMED_HOSPITAL,HIGH,Recipient name rule: name states a medical center. §10.2 DIRECT: the named recipient is a hospital or hospital system and the state's award document names both the recipient and the amount.,PATTERN,,data/evidence/KS/2026-08-29_kdhe_reh_cap_and_rpgp_award_winners.pdf
KS,5,Freeman Fort Scott Hospital,2502999,HOSPITAL_OR_SYSTEM,Yes,KDHE REH_CAP award. Recipient name rule: name states a hospital. §10.2 DIRECT: the named recipient is a hospital or hospital system and the state's award document names both the recipient and the amount.,Yes,Yes,FY2026,REH CAP and RPGP Award Winners,https://www.kdhe.ks.gov/2361/Rural-Health-Transformation-Program,NOTICE_OF_AWARD,DIRECT_TEXT,AUTO,,,,,REH_CAP,DIRECT,Yes,NAMED_HOSPITAL,HIGH,Recipient name rule: name states a hospital. §10.2 DIRECT: the named recipient is a hospital or hospital system and the state's award document names both the recipient and the amount.,PATTERN,,data/evidence/KS/2026-08-29_kdhe_reh_cap_and_rpgp_award_winners.pdf
KS,6,Hays Medical Center,2478316,HOSPITAL_OR_SYSTEM,Yes,KDHE REH_CAP award. Recipient name rule: name states a medical center. §10.2 DIRECT: the named recipient is a hospital or hospital system and the state's award document names both the recipient and the amount.,Yes,Yes,FY2026,REH CAP and RPGP Award Winners,https://www.kdhe.ks.gov/2361/Rural-Health-Transformation-Program,NOTICE_OF_AWARD,DIRECT_TEXT,AUTO,,,,,REH_CAP,DIRECT,Yes,NAMED_HOSPITAL,HIGH,Recipient name rule: name states a medical center. §10.2 DIRECT: the named recipient is a hospital or hospital system and the state's award document names both the recipient and the amount.,PATTERN,,data/evidence/KS/2026-08-29_kdhe_reh_cap_and_rpgp_award_winners.pdf
KS,7,South Central Kansas Health,2378188,NONPROFIT_CBO,No,"KDHE REH_CAP award. Recipient is named but the source does not state its organisational form; §8 settled fallback (session 10). §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work.",Yes,Yes,FY2026,REH CAP and RPGP Award Winners,https://www.kdhe.ks.gov/2361/Rural-Health-Transformation-Program,NOTICE_OF_AWARD,DIRECT_TEXT,AUTO,,,,,REH_CAP,NON_HOSPITAL,No,NOT_HOSPITAL,LOW,"Recipient is named but the source does not state its organisational form; §8 settled fallback (session 10). §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work.",FALLBACK,RECIPIENT_TYPE_INFERRED,data/evidence/KS/2026-08-29_kdhe_reh_cap_and_rpgp_award_winners.pdf
KS,8,Labette Health,2145677,NONPROFIT_CBO,No,"KDHE REH_CAP award. Recipient is named but the source does not state its organisational form; §8 settled fallback (session 10). §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work.",Yes,Yes,FY2026,REH CAP and RPGP Award Winners,https://www.kdhe.ks.gov/2361/Rural-Health-Transformation-Program,NOTICE_OF_AWARD,DIRECT_TEXT,AUTO,,,,,REH_CAP,NON_HOSPITAL,No,NOT_HOSPITAL,LOW,"Recipient is named but the source does not state its organisational form; §8 settled fallback (session 10). §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work.",FALLBACK,RECIPIENT_TYPE_INFERRED,data/evidence/KS/2026-08-29_kdhe_reh_cap_and_rpgp_award_winners.pdf
KS,9,PrairieStar Health Center,1987287,NONPROFIT_CBO,No,"KDHE REH_CAP award. Recipient is named but the source does not state its organisational form; §8 settled fallback (session 10). §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work.",Yes,Yes,FY2026,REH CAP and RPGP Award Winners,https://www.kdhe.ks.gov/2361/Rural-Health-Transformation-Program,NOTICE_OF_AWARD,DIRECT_TEXT,AUTO,,,,,REH_CAP,NON_HOSPITAL,No,NOT_HOSPITAL,LOW,"Recipient is named but the source does not state its organisational form; §8 settled fallback (session 10). §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work.",FALLBACK,RECIPIENT_TYPE_INFERRED,data/evidence/KS/2026-08-29_kdhe_reh_cap_and_rpgp_award_winners.pdf
KS,10,Wilson Medical Center,1555143,HOSPITAL_OR_SYSTEM,Yes,KDHE REH_CAP award. Recipient name rule: name states a medical center. §10.2 DIRECT: the named recipient is a hospital or hospital system and the state's award document names both the recipient and the amount.,Yes,Yes,FY2026,REH CAP and RPGP Award Winners,https://www.kdhe.ks.gov/2361/Rural-Health-Transformation-Program,NOTICE_OF_AWARD,DIRECT_TEXT,AUTO,,,,,REH_CAP,DIRECT,Yes,NAMED_HOSPITAL,HIGH,Recipient name rule: name states a medical center. §10.2 DIRECT: the named recipient is a hospital or hospital system and the state's award document names both the recipient and the amount.,PATTERN,,data/evidence/KS/2026-08-29_kdhe_reh_cap_and_rpgp_award_winners.pdf
